observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
91774,1,54,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99501,138,Range size,8,km^2,10,Calculated from GIS shapefile,40290810.04,raw_value,,,,,
110915,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125362,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,submassive,expert_opinion,,,,,
150,1,1,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,145,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,19122851.75,raw_value,,,,,
212,1,5,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,203,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
156945,1,14,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,409,Indo-Pacific (unspecified),0,160,740,,199747,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),stress-tolerant,model_derived,,,,,
231,1,1,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,221,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,42277168.59,raw_value,,,,,
91779,1,54,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99506,138,Range size,8,km^2,10,Calculated from GIS shapefile,87027456.89,raw_value,,,,,
110917,1,2,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125364,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
359,1,1,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,344,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,22167887.94,raw_value,,,,,
110923,1,2,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125370,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
341,1,5,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,327,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
91789,1,54,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99516,138,Range size,8,km^2,10,Calculated from GIS shapefile,37718670.72,raw_value,,,,,
490,1,1,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,470,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,21818198.49,raw_value,,,,,
91799,1,54,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99526,138,Range size,8,km^2,10,Calculated from GIS shapefile,57094454.77,raw_value,,,,,
110926,1,2,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125373,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
