"n","celln5_f","celln5_e","celln5_fe","celln5_fer","celln5_lhi","celln5_cnp","celln5_rand","celln5_rand_lo","celln5_rand_hi","cellm5_f","cellm5_e","cellm5_fe","cellm5_fer","cellm5_lhi","cellm5_cnp","cellm5_rand","cellm5_rand_lo","cellm5_rand_hi","celln10_f","celln10_e","celln10_fe","celln10_fer","celln10_lhi","celln10_cnp","celln10_rand","celln10_rand_lo","celln10_rand_hi","cellm10_f","cellm10_e","cellm10_fe","cellm10_fer","cellm10_lhi","cellm10_cnp","cellm10_rand","cellm10_rand_lo","cellm10_rand_hi"
100,23,20,22,22,NA,NA,21,19,23,4.45454545454545,5,4.71428571428571,4.71428571428571,NA,NA,4.9,4.5,5.26315789473684,64,45,58,59,NA,NA,46,42,51,1.55555555555556,2.22222222222222,1.73684210526316,1.70689655172414,NA,NA,2.2,1.98,2.41463414634146
99,23,20,22,22,NA,NA,21,19,22,4.40909090909091,4.95,4.66666666666667,4.66666666666667,NA,NA,4.9,4.5,5.21052631578947,64,45,58,59,NA,NA,46,41,50,1.53968253968254,2.2,1.71929824561404,1.68965517241379,NA,NA,2.17777777777778,1.98,2.425
98,23,20,22,22,NA,NA,21,19,22,4.36363636363636,4.9,4.61904761904762,4.61904761904762,NA,NA,4.85,4.45454545454545,5.1578947368421,64,45,58,59,NA,NA,45,41,50,1.52380952380952,2.17777777777778,1.70175438596491,1.67241379310345,NA,NA,2.17777777777778,1.96,2.4
97,23,20,22,22,NA,NA,21,19,22,4.31818181818182,4.85,4.57142857142857,4.57142857142857,NA,NA,4.8,4.40909090909091,5.10526315789474,63,45,58,59,NA,NA,45,41,50,1.53225806451613,2.15555555555556,1.68421052631579,1.6551724137931,NA,NA,2.15555555555556,1.95918367346939,2.36585365853659
96,23,20,22,22,NA,NA,21,19,22,4.27272727272727,4.8,4.52380952380952,4.52380952380952,NA,NA,4.75,4.36363636363636,5.22222222222222,63,45,58,59,NA,NA,45,40,50,1.51612903225806,2.13333333333333,1.66666666666667,1.63793103448276,NA,NA,2.13636363636364,1.93877551020408,2.4
95,23,20,22,22,NA,NA,21,19,22,4.22727272727273,4.75,4.47619047619048,4.47619047619048,NA,NA,4.7,4.31818181818182,5.16666666666667,62,45,58,59,NA,NA,45,40,50,1.52459016393443,2.11111111111111,1.64912280701754,1.62068965517241,NA,NA,2.13636363636364,1.91836734693878,2.375
94,23,20,22,22,NA,NA,21,19,22,4.18181818181818,4.7,4.42857142857143,4.42857142857143,NA,NA,4.65,4.27272727272727,5.16666666666667,62,45,58,58,NA,NA,44,40,49,1.50819672131148,2.08888888888889,1.63157894736842,1.63157894736842,NA,NA,2.13636363636364,1.91836734693878,2.38461538461538
93,23,20,22,22,NA,NA,21,19,22,4.13636363636364,4.65,4.38095238095238,4.38095238095238,NA,NA,4.6,4.22727272727273,5.11111111111111,62,45,58,57,NA,NA,45,40,49,1.49180327868852,2.06666666666667,1.6140350877193,1.64285714285714,NA,NA,2.09090909090909,1.89795918367347,2.33333333333333
92,23,20,22,22,NA,NA,21,19,22,4.09090909090909,4.6,4.33333333333333,4.33333333333333,NA,NA,4.55,4.18181818181818,5.05555555555556,62,45,57,57,NA,NA,44,40,49,1.47540983606557,2.04444444444444,1.625,1.625,NA,NA,2.09090909090909,1.89583333333333,2.33333333333333
91,23,20,22,22,NA,NA,21,19,22,4.04545454545455,4.55,4.28571428571429,4.28571428571429,NA,NA,4.5,4.13636363636364,5,62,45,57,57,NA,NA,44,39,48,1.45901639344262,2.02222222222222,1.60714285714286,1.60714285714286,NA,NA,2.09302325581395,1.8936170212766,2.33333333333333
90,23,20,22,22,NA,NA,21,19,22,4,4.5,4.23809523809524,4.23809523809524,NA,NA,4.45,4.09090909090909,4.94444444444444,62,45,57,57,NA,NA,44,39,48,1.44262295081967,2,1.58928571428571,1.58928571428571,NA,NA,2.06976744186047,1.875,2.30769230769231
89,23,20,22,22,NA,NA,21,19,22,3.95454545454545,4.45,4.19047619047619,4.19047619047619,NA,NA,4.4,4.04545454545455,4.88888888888889,61,44,57,57,NA,NA,43,39,48,1.45,2.02272727272727,1.57142857142857,1.57142857142857,NA,NA,2.06976744186047,1.87234042553191,2.31578947368421
88,23,20,22,22,NA,NA,21,19,22,3.90909090909091,4.4,4.14285714285714,4.14285714285714,NA,NA,4.35,4.04761904761905,4.83333333333333,61,43,57,57,NA,NA,43,38,48,1.43333333333333,2.04651162790698,1.55357142857143,1.55357142857143,NA,NA,2.04651162790698,1.85106382978723,2.31578947368421
87,23,20,22,22,NA,NA,20,18,22,3.86363636363636,4.35,4.0952380952381,4.0952380952381,NA,NA,4.35,4,4.77777777777778,61,43,57,56,NA,NA,43,38,48,1.41666666666667,2.02325581395349,1.53571428571429,1.56363636363636,NA,NA,2.02380952380952,1.82978723404255,2.28947368421053
86,23,20,22,22,NA,NA,20,18,22,3.81818181818182,4.3,4.04761904761905,4.04761904761905,NA,NA,4.3,3.95238095238095,4.77777777777778,61,43,56,55,NA,NA,43,38,47,1.4,2,1.54545454545455,1.57407407407407,NA,NA,2.02380952380952,1.84782608695652,2.26315789473684
85,23,20,22,21,NA,NA,20,18,22,3.77272727272727,4.25,4,4.04761904761905,NA,NA,4.25,3.9047619047619,4.72222222222222,61,43,56,54,NA,NA,43,38,47,1.38333333333333,1.97674418604651,1.52727272727273,1.57407407407407,NA,NA,2,1.82222222222222,2.24324324324324
84,23,20,22,21,NA,NA,20,18,22,3.72727272727273,4.2,3.95238095238095,4,NA,NA,4.2,3.9047619047619,4.66666666666667,61,42,55,54,NA,NA,42,38,47,1.36666666666667,2,1.53703703703704,1.55555555555556,NA,NA,2,1.80434782608696,2.24324324324324
83,23,20,22,21,NA,NA,20,18,22,3.68181818181818,4.15,3.9047619047619,3.95238095238095,NA,NA,4.15,3.85714285714286,4.61111111111111,61,42,55,53,NA,NA,42,37,46,1.35,1.97619047619048,1.51851851851852,1.56603773584906,NA,NA,2,1.80434782608696,2.24324324324324
82,23,20,22,21,NA,NA,20,18,22,3.63636363636364,4.1,3.85714285714286,3.9047619047619,NA,NA,4.1,3.80952380952381,4.55555555555556,61,42,55,53,NA,NA,42,37,46,1.33333333333333,1.95238095238095,1.5,1.54716981132075,NA,NA,1.97560975609756,1.77777777777778,2.22222222222222
81,23,20,22,21,NA,NA,20,18,22,3.59090909090909,4.05,3.80952380952381,3.85714285714286,NA,NA,4.05,3.76190476190476,4.5,61,42,55,52,NA,NA,42,37,46,1.31666666666667,1.92857142857143,1.48148148148148,1.55769230769231,NA,NA,1.95121951219512,1.76086956521739,2.22222222222222
80,23,20,22,21,NA,NA,20,18,22,3.54545454545455,4,3.76190476190476,3.80952380952381,NA,NA,4,3.71428571428571,4.44444444444444,61,42,55,52,NA,NA,41,37,46,1.3,1.9047619047619,1.46296296296296,1.53846153846154,NA,NA,1.95121951219512,1.75555555555556,2.19444444444444
79,23,20,22,21,NA,NA,20,18,22,3.5,3.95,3.71428571428571,3.76190476190476,NA,NA,3.95,3.71428571428571,4.38888888888889,61,42,54,52,NA,NA,41,36,45,1.28333333333333,1.88095238095238,1.47169811320755,1.51923076923077,NA,NA,1.95,1.75555555555556,2.19444444444444
78,23,20,22,21,NA,NA,20,18,22,3.45454545454545,3.9,3.66666666666667,3.71428571428571,NA,NA,3.9,3.66666666666667,4.33333333333333,60,42,54,52,NA,NA,41,36,45,1.28813559322034,1.85714285714286,1.45283018867925,1.5,NA,NA,1.925,1.73333333333333,2.16666666666667
